profession-capability-framework	profession-capability-framework-cluster	profession-capability-framework-job-family	profession-capability-framework-job-title	profession-capability-framework-capability-type	profession-capability-framework-capability	profession-capability-framework-mastery-level	start-date	end-date
11208	11	101	1009	2	1110	13		
11209	11	101	1008	2	1110	13		
11210	11	101	1010	2	1110	13		
11211	16	135	1033	1	1111	12		
11212	16	135	1031	1	1111	13		
11213	16	135	1028	1	1111	13		
11214	16	135	1032	1	1111	13		
11215	16	135	1029	1	1111	13		
11216	16	135	1030	1	1111	14		
11217	12	113	1153	1	1112	11		
11218	12	108	1121	1	1112	12		
11219	12	113	1130	1	1112	12		
11220	12	113	1128	1	1112	14		
11221	12	108	1119	1	1112	13		
11222	12	108	1120	1	1112	13		
11223	12	113	1127	1	1112	14		
11224	12	113	1129	1	1112	13		
11225	12	109	1131	1	1113	14		
11226	12	109	1133	1	1113	12		
11227	12	109	1132	1	1113	13		
11228	12	106	1118	1	1114	12		
11229	12	106	1115	1	1114	14		
11230	12	106	1114	1	1114	14		
11231	12	106	1116	1	1114	13		
11232	12	106	1117	1	1114	12		
11233	15	131	1126	2	1115	11		
11234	15	131	1122	2	1115	14		
11235	15	131	1123	2	1115	14		
11236	15	131	1125	2	1115	12		
11237	15	131	1124	2	1115	13		
11238	15	130	1055	1	1116	13		
11239	15	130	1138	1	1116	13		
11240	15	130	1056	1	1116	12		
11241	15	130	1139	1	1116	14		
11242	15	130	1057	1	1116	11		
11243	16	135	1033	1	1117	15		
11244	16	136	1039	1	1117	15		
11245	11	105	1018	2	1117	11		
11246	16	137	1045	1	1117	15		
11247	16	135	1031	1	1117	12		
11248	16	135	1028	1	1117	14		
11249	16	136	1034	1	1117	14		
11250	11	105	1014	2	1117	14		
11251	16	137	1040	1	1117	14		
11252	16	136	1037	1	1117	12		
11253	16	135	1032	1	1117	11		
11254	16	136	1038	1	1117	11		
11255	16	137	1044	1	1117	11		
11256	16	135	1029	1	1117	13		
11257	16	136	1035	1	1117	13		
11258	11	105	1015	2	1117	14		
11259	16	137	1041	1	1117	13		
11260	11	105	1017	2	1117	12		
11261	16	135	1030	1	1117	12		
11262	16	136	1036	1	1117	12		
11263	11	105	1016	2	1117	13		
11264	16	137	1042	1	1117	12		
11265	16	137	1043	1	1117	12		
11266	15	131	1126	2	1118	11		
11267	15	131	1122	2	1118	14		
11268	15	131	1123	2	1118	14		
11269	15	131	1125	2	1118	12		
11270	15	131	1124	2	1118	13		
11271	13	115	1060	1	1119	11		
11272	13	124	1090	1	1119	11		
11273	13	124	1089	1	1119	11		
11274	13	124	1091	1	1119	11		
11275	13	116	1062	1	1119	11		
11276	13	117	1068	1	1119	11		
11277	13	118	1072	1	1119	11		
11278	13	122	1081	1	1119	13		
11279	13	119	1073	1	1119	14		
11280	13	123	1085	1	1119	12		
11281	13	120	1077	1	1119	11		
11282	13	119	1076	1	1119	11		
11283	13	119	1075	1	1119	12		
11284	13	115	1058	1	1119	12		
11285	13	116	1063	1	1119	12		
11286	13	117	1066	1	1119	12		
11287	13	118	1070	1	1119	12		
11288	13	125	1092	1	1119	12		
11289	13	120	1078	1	1119	11		
11290	13	122	1082	1	1119	12		
11291	13	122	1084	1	1119	11		
11292	13	116	1061	1	1119	13		
11293	13	117	1065	1	1119	13		
11294	13	118	1069	1	1119	13		
11295	13	121	1080	1	1119	11		
11296	13	121	1079	1	1119	11		
11297	13	115	1059	1	1119	12		
11298	13	116	1064	1	1119	11		
11299	13	117	1067	1	1119	11		
11300	13	118	1071	1	1119	11		
11301	13	119	1074	1	1119	13		
11302	13	122	1083	1	1119	11		
11303	13	123	1087	1	1119	11		
11304	13	125	1095	1	1119	11		
11305	13	123	1086	1	1119	12		
11306	13	125	1094	1	1119	11		
11307	13	125	1093	1	1119	12		
11308	12	110	1047	2	1120	13		
11309	12	110	1046	2	1120	14		
11310	12	110	1048	2	1120	12		
11311	12	106	1118	1	1121	11		
11312	12	106	1115	1	1121	13		
11313	12	106	1114	1	1121	14		
11314	12	106	1116	1	1121	12		
11315	12	106	1117	1	1121	12		
11316	15	131	1126	1	1122	12		
11317	15	131	1122	1	1122	13		
11318	15	131	1123	1	1122	14		
